"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R7,R8";"R_0805_HandSoldering";2;"10k";;;
2;"VCC";"WireConnection_1.50mmDrill";1;"v5";;;
3;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
4;"C1,C3";"C_1206_HandSoldering";2;"10m";;;
5;"D1";"D_SMA_Handsoldering";1;"SS16";;;
6;"D2";"D_SMA_Handsoldering";1;"1N";;;
7;"D3";"LED_D3.0mm";1;"LowBatt";;;
8;"D4";"LED_D3.0mm";1;"Flooding";;;
9;"J8";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Conn_01x06";;;
10;"R1,R4,R5,R6,R2,R3";"R_1206_HandSoldering";6;"10k";;;
11;"SW1";"SW_Tactile_SPST_Angled_PTS645Vx39-2LFS";1;"Tactile Angle";;;
12;"U1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA8-16PU";;;
13;"U3";"DIP-16_W7.62mm";1;"L293D";;;
14;"J2";"TerminalBlock_Pheonix_MKDS1.5-2pol";1;"v12";;;
15;"BAT";"WireConnection_1.50mmDrill";1;"Battery";;;
16;"REF**";"MountingHole_6.5mm";1;"MountingHole_6.5mm";;;
17;"D5,D6";"D_SMA";2;"D_ALT";;;
18;"D7,D8";"D_DO-15_P10.16mm_Horizontal";2;"1N5822";;;
19;"J3,J4";"TerminalBlock_Philmore_TB133_03x5mm_Straight";2;"300-031-7,5";;;
20;"J6,J7";"TerminalBlock_Philmore_TB132_02x5mm_Straight";2;"301-021-12";;;
21;"R9,R10";"R_0805_HandSoldering";2;"1k";;;
22;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"DS1307+";;;
23;"U4,U5";"DIP-4_W7.62mm";2;"PC817";;;
24;"Y1";"Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal_1EP_style2";1;"32768Hz";;;
25;"5out";"SolderWirePad_2x_2mmDrill";1;"SolderWirePad_2x_2mmDrill";;;
